
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                    2484 RDP-Tcp#19                 1     68,936 K
chrome.exe                    5436 RDP-Tcp#19                 1     24,880 K
chrome.exe                    6288 RDP-Tcp#19                 1     43,260 K
chrome.exe                    5336 RDP-Tcp#19                 1     78,112 K
chrome.exe                    6020 RDP-Tcp#19                 1     80,180 K
chrome.exe                    5396 RDP-Tcp#19                 1    178,616 K
chrome.exe                    7536 RDP-Tcp#19                 1     47,108 K
chrome.exe                     652 RDP-Tcp#19                 1    111,268 K
chrome.exe                    4420 RDP-Tcp#19                 1     51,588 K
chrome.exe                    4492 RDP-Tcp#19                 1     53,384 K
chrome.exe                    7672 RDP-Tcp#19                 1     46,624 K
chrome.exe                    3364 RDP-Tcp#19                 1     47,264 K
chrome.exe                    1664 RDP-Tcp#19                 1     62,144 K
chrome.exe                    7708 RDP-Tcp#19                 1     45,048 K
chrome.exe                    2908 RDP-Tcp#19                 1     54,652 K
chrome.exe                    7276 RDP-Tcp#19                 1     55,240 K
chrome.exe                    7244 RDP-Tcp#19                 1     59,996 K
chrome.exe                    7828 RDP-Tcp#19                 1     45,856 K
chrome.exe                    9272 RDP-Tcp#19                 1     48,088 K
chrome.exe                    9296 RDP-Tcp#19                 1     47,400 K
chrome.exe                    9304 RDP-Tcp#19                 1     54,048 K
chrome.exe                    7484 RDP-Tcp#19                 1     46,652 K
chrome.exe                    6164 RDP-Tcp#19                 1     62,312 K
chrome.exe                    9032 RDP-Tcp#19                 1    142,544 K
chrome.exe                    9292 RDP-Tcp#19                 1    121,552 K
chrome.exe                    8300 RDP-Tcp#19                 1     45,964 K
svchost.exe                   9260 Services                   0      6,760 K
chrome.exe                    7084 RDP-Tcp#19                 1     16,712 K
chrome.exe                    7284 RDP-Tcp#19                 1     74,232 K
chrome.exe                    7388 RDP-Tcp#19                 1     28,900 K
svchost.exe                   9688 Services                   0     19,672 K
msiexec.exe                   9900 Services                   0     10,200 K
audiodg.exe                   8804 Services                   0     14,428 K
cmd.exe                       8232 RDP-Tcp#19                 1      4,844 K
conhost.exe                   8424 RDP-Tcp#19                 1     20,524 K
tasklist.exe                 10236 RDP-Tcp#19                 1      7,900 K
WmiPrvSE.exe                  7684 Services                   0      8,836 K
